Employee Name,Employee ID,Department,KPI Score,Attendance,Number of Training,Productivity Score,Absenteeism Rate,Turnover Rate,Manager Feedback,Projects Completed
Ngozi Ogunleye,NG1060,IT,89,94,6,59,4,14,2,2
Ibrahim Yakubu,NG1061,Sales,96,78,0,87,0,8,3,8
Ngozi Nwankwo,NG1062,Sales,63,77,1,74,5,22,1,15
Bola Okafor,NG1063,Sales,57,80,9,56,1,21,3,13
Sola Danladi,NG1064,HR,87,74,8,60,10,1,3,11
Chinedu Yakubu,NG1065,Finance,87,98,3,92,7,14,3,3
Aisha Ogunleye,NG1066,IT,91,84,7,80,7,18,3,2
Ibrahim Nwankwo,NG1067,Finance,77,70,3,91,7,12,2,11
Ngozi Ogunleye,NG1068,HR,56,77,8,84,10,8,5,2
Sola Nwankwo,NG1069,Marketing,78,93,5,58,5,5,1,0
Aisha Abdullahi,NG1070,Operations,76,85,9,72,6,30,3,19
Ngozi Ogunleye,NG1071,Marketing,99,81,4,69,8,2,5,19
Ibrahim Ogunleye,NG1072,Finance,95,95,8,57,6,22,5,19
Bola Danladi,NG1073,Marketing,91,76,6,55,2,7,3,5
Aisha Eze,NG1074,Finance,97,89,8,72,1,14,2,1
Ibrahim Salami,NG1075,IT,61,90,4,88,2,26,5,5
Tunde Abdullahi,NG1076,IT,82,84,1,96,6,29,4,9
Fatima Nwankwo,NG1077,Finance,60,88,5,75,1,24,4,15
Sola Danladi,NG1078,Operations,60,87,3,81,0,22,1,13
Sola Danladi,NG1079,Sales,61,80,3,73,4,18,2,1
Emeka Salami,NG1080,Finance,87,86,0,76,8,1,3,2
Fatima Eze,NG1081,IT,85,88,10,57,4,9,5,5
Tunde Okafor,NG1082,IT,56,86,7,90,3,5,3,19
Chinedu Ogunleye,NG1083,HR,96,99,5,80,9,15,4,9
Bola Ogunleye,NG1084,HR,93,81,7,96,1,18,3,13
Fatima Adebayo,NG1085,Finance,61,88,6,94,10,3,2,7
Tunde Eze,NG1086,Operations,76,71,9,95,2,28,5,18
Chinedu Ogunleye,NG1087,Operations,86,78,4,50,8,5,2,15
Chinedu Balogun,NG1088,HR,69,99,2,56,2,20,4,7
Ibrahim Balogun,NG1089,Operations,84,72,8,61,9,24,2,6
Aisha Ogunleye,NG1090,Operations,79,82,9,100,3,24,1,1
Sola Abdullahi,NG1091,Operations,85,89,2,56,3,17,2,1
Aisha Abdullahi,NG1092,Finance,70,82,2,71,3,13,3,2
Ibrahim Ogunleye,NG1093,IT,100,95,0,61,1,12,1,19
Tunde Okafor,NG1094,Marketing,57,78,6,68,4,7,3,18
Aisha Abdullahi,NG1095,IT,52,98,8,72,3,13,2,4
Ngozi Eze,NG1096,IT,83,89,7,70,4,26,3,5
Sola Nwankwo,NG1097,Sales,84,82,5,92,0,2,3,7
Kemi Eze,NG1098,IT,64,82,1,76,1,13,1,3
Ibrahim Okafor,NG1099,Sales,64,100,9,59,6,28,4,18
Kemi Abdullahi,NG1100,Finance,90,77,2,54,8,20,3,9
